Lorenz X,Lorenz Y,Lorenz Z,Rossler X,Rossler Y,Rossler Z,Duffing,Logistic
-9.948946519,-10.55875775,28.0765004,-1.38,1.43,0.0731,0.724,0.272220974
-10.03470026,-10.27651932,28.64839897,-1.4,1.42,0.0728,0.713,0.792466861
-10.04405401,-9.893830375,29.134851,-1.41,1.41,0.0725,0.702,0.65785254
-9.974694652,-9.433757691,29.50743203,-1.43,1.4,0.0722,0.691,0.900330302
-9.829527172,-8.925467646,29.74641892,-1.44,1.39,0.072,0.679,0.358942597
-9.616520517,-8.400776959,29.84246579,-1.46,1.38,0.0717,0.668,0.920411237
-9.347924964,-7.890498881,29.7966783,-1.47,1.37,0.0714,0.656,0.293017569
-9.039011366,-7.421350851,29.61923664,-1.48,1.36,0.0712,0.644,0.828633092
-8.706575379,-7.013955786,29.32706029,-1.5,1.35,0.0709,0.631,0.568001163
-8.36746915,-6.68210892,28.94114339,-1.51,1.34,0.0707,0.619,0.981503368
-8.037373926,-6.433148323,28.48411261,-1.53,1.33,0.0704,0.606,0.072618028
-7.729937743,-6.26906524,27.97835258,-1.54,1.32,0.0702,0.593,0.2693786
-7.456307412,-6.187943808,27.44481375,-1.55,1.31,0.0699,0.58,0.78725508
-7.22500943,-6.185387781,26.90244305,-1.57,1.3,0.0697,0.567,0.669938075
-7.042091445,-6.255711261,26.36808519,-1.58,1.29,0.0695,0.554,0.884484202
-6.91142282,-6.392788162,25.85668167,-1.6,1.28,0.0692,0.54,0.408687594
-6.835060908,-6.590542953,25.3816162,-1.61,1.27,0.069,0.526,0.966648178
-6.813608761,-6.843116868,24.95509312,-1.62,1.25,0.0688,0.512,0.128957913
-6.846512094,-7.144765826,24.58847001,-1.64,1.24,0.0686,0.498,0.449311078
-6.932263531,-7.489550286,24.2924904,-1.65,1.23,0.0684,0.484,0.989722533
-7.068498624,-7.870874063,24.07737448,-1.66,1.22,0.0682,0.47,0.040687364
-7.251981041,-8.280927449,23.95272926,-1.67,1.21,0.068,0.455,0.156127611
-7.478485234,-8.710095679,23.92723941,-1.69,1.19,0.0678,0.44,0.52700712
-7.742595774,-9.14640994,24.00810241,-1.7,1.18,0.0676,0.426,0.997082462
-8.037455443,-9.575144476,24.20018552,-1.71,1.17,0.0674,0.411,0.011636104
-8.354510007,-9.978694864,24.50491538,-1.72,1.15,0.0672,0.396,0.046002821
-8.683316026,-10.33689731,24.91897203,-1.74,1.14,0.067,0.38,0.175546248
-9.011495357,-10.62794732,25.43294871,-1.75,1.13,0.0669,0.365,0.57891905
-9.32492962,-10.83002297,26.03024533,-1.76,1.11,0.0667,0.35,0.975087134
-9.608279372,-10.92359194,26.68655565,-1.77,1.1,0.0665,0.334,0.09716886
-9.845875814,-10.89418125,27.37033328,-1.78,1.09,0.0663,0.318,0.350908292
-10.02296204,-10.73515331,28.04452277,-1.79,1.07,0.0662,0.303,0.91108665
-10.12716342,-10.4498483,28.66958748,-1.81,1.06,0.066,0.287,0.324031063
-10.1499675,-10.05243225,29.20749499,-1.82,1.04,0.0659,0.271,0.876139733
-10.08793065,-9.56701158,29.62595269,-1.83,1.03,0.0657,0.255,0.434075605
-9.943339145,-9.025013003,29.90199216,-1.84,1.02,0.0655,0.239,0.982615896
-9.724149636,-8.461335841,30.02410451,-1.85,1,0.0654,0.222,0.068327586
-9.443195007,-7.910145723,29.99252211,-1.86,0.986,0.0652,0.206,0.254635709
-9.116812347,-7.401236779,29.81776731,-1.87,0.97,0.0651,0.19,0.75918546
-8.763169246,-6.957633656,29.51802539,-1.88,0.955,0.0649,0.173,0.73129159
-8.400597136,-6.594674066,29.11608825,-1.89,0.94,0.0648,0.157,0.786016802
-8.046187942,-6.320400164,28.63653764,-1.9,0.924,0.0647,0.14,0.672777557
-7.71480595,-6.136832063,28.10358928,-1.91,0.908,0.0645,0.124,0.880591663
-7.41855348,-6.041634635,27.5397391,-1.92,0.892,0.0644,0.107,0.420599944
-7.166639355,-6.029770151,26.96513895,-1.93,0.876,0.0643,0.0902,0.974782524
-6.965547737,-6.094874504,26.39751832,-1.94,0.86,0.0641,0.0734,0.098326219
-6.819389651,-6.230237058,25.8524461,-1.95,0.844,0.064,0.0565,0.354632695
-6.730329533,-6.429368662,25.3437559,-1.96,0.827,0.0639,0.0397,0.915473387
-6.699002066,-6.686201771,24.88400631,-1.97,0.811,0.0637,0.0228,0.30952746
-6.724860519,-6.99498996,24.48489077,-1.98,0.794,0.0636,0.00583,0.854880846
-6.806421008,-7.349975405,24.15754123,-1.98,0.777,0.0635,-0.0111,0.496238342
-6.941385337,-7.744885661,23.91268394,-1.99,0.76,0.0634,-0.0281,0.9999434
-7.126638731,-8.172315216,23.76060832,-2,0.742,0.0633,-0.0451,0.000226388
-7.358129566,-8.623050057,23.71090607,-2.01,0.725,0.0632,-0.0622,0.000905348
-7.630648716,-9.085408849,23.77193598,-2.02,0.707,0.0631,-0.0792,0.003618115
-7.937538805,-9.544703217,23.94997719,-2.02,0.69,0.0629,-0.0962,0.014420095
-8.270380268,-9.982958364,24.24806227,-2.03,0.672,0.0628,-0.113,0.056848625
-8.618721894,-10.37907265,24.66454045,-2.04,0.654,0.0627,-0.13,0.214467437
-8.969945612,-10.7096101,25.19151712,-2.05,0.636,0.0626,-0.147,0.673884621
-9.309371776,-10.95038341,25.81344061,-2.05,0.618,0.0625,-0.164,0.879056554
-9.620710763,-11.0788655,26.50623207,-2.06,0.599,0.0624,-0.181,0.425264515
-9.886935605,-11.0772527,27.23742083,-2.07,0.581,0.0623,-0.198,0.977658429
-10.09157879,-10.93572061,27.96768168,-2.07,0.562,0.0623,-0.215,0.087369701
-10.22034735,-10.655158,28.65391798,-2.08,0.543,0.0622,-0.232,0.318944945
-10.26282759,-10.24857053,29.25361133,-2.08,0.524,0.0621,-0.249,0.868876268
-10.21395904,-9.74053584,29.72969124,-2.09,0.505,0.062,-0.266,0.455721197
-10.07494461,-9.164573606,30.05487357,-2.1,0.486,0.0619,-0.283,0.99215755
-9.853357501,-8.55891563,30.21445757,-2.1,0.467,0.0618,-0.3,0.031123782
-9.562387316,-7.961657739,30.20699076,-2.11,0.448,0.0617,-0.316,0.12062037
-9.219375774,-7.406419632,30.04284207,-2.11,0.428,0.0617,-0.333,0.424284386
-8.843950395,-6.919380638,29.74128955,-2.12,0.409,0.0616,-0.35,0.977068583
-8.456120315,-6.518049992,29.32700744,-2.12,0.389,0.0615,-0.366,0.089622267
-8.074647354,-6.211613107,28.82677618,-2.12,0.369,0.0614,-0.383,0.326360466
-7.715885191,-6.002360955,28.26694955,-2.13,0.349,0.0614,-0.399,0.879397249
-7.393143045,-5.887616224,27.6718675,-2.13,0.329,0.0613,-0.415,0.424230911
-7.116520296,-5.861661785,27.06313505,-2.14,0.309,0.0612,-0.432,0.97703618
-6.893094499,-5.917353161,26.45954791,-2.14,0.288,0.0612,-0.448,0.08974593
-6.72732567,-6.047271298,25.87741712,-2.14,0.268,0.0611,-0.464,0.326766394
-6.621551268,-6.244399403,25.33108314,-2.15,0.247,0.0611,-0.48,0.879960471
-6.57647362,-6.502378773,24.83347036,-2.15,0.227,0.061,-0.496,0.422520163
-6.591572253,-6.815424565,24.39658745,-2.15,0.206,0.0609,-0.511,0.9759875
-6.665400719,-7.177981235,24.03191587,-2.16,0.185,0.0609,-0.527,0.093743601
-6.795748146,-7.584185013,23.75064623,-2.16,0.164,0.0608,-0.542,0.339822953
-6.979660452,-8.027189474,23.56372461,-2.16,0.143,0.0608,-0.558,0.897373255
-7.213326816,-8.498408339,23.48166431,-2.16,0.122,0.0607,-0.573,0.368377985
-7.491846783,-8.986742231,23.51407044,-2.16,0.101,0.0607,-0.588,0.93070258
-7.808905169,-9.477885738,23.66882531,-2.16,0.0796,0.0607,-0.603,0.257981149
-8.15639851,-9.953855905,23.95090168,-2.17,0.0582,0.0606,-0.618,0.765707503
-8.524079224,-10.39293405,24.36082403,-2.17,0.0367,0.0606,-0.632,0.717598091
-8.899310318,-10.7702494,24.89289375,-2.17,0.0151,0.0605,-0.647,0.810604284
-9.267048055,-11.05922215,25.53343452,-2.17,-0.00657,0.0605,-0.661,0.614099916
-9.610180567,-11.23398513,26.25947369,-2.17,-0.0283,0.0605,-0.675,0.947924837
-9.910330222,-11.27268564,27.03839626,-2.17,-0.0502,0.0604,-0.689,0.197453362
-10.14916118,-11.16124701,27.82910033,-2.17,-0.0721,0.0604,-0.702,0.633862128
-10.31011689,-10.89682597,28.58495974,-2.17,-0.0941,0.0604,-0.716,0.928323723
-10.38036497,-10.49000032,29.25844238,-2.17,-0.116,0.0604,-0.729,0.266155153
-10.35259713,-9.964832355,29.80665301,-2.17,-0.138,0.0603,-0.742,0.781266351
-10.22628177,-9.356447818,30.19660837,-2.17,-0.16,0.0603,-0.755,0.68355696
-10.00804235,-8.706513355,30.4089704,-2.17,-0.183,0.0603,-0.767,0.86522737
-9.711030895,-8.057677165,30.43936849,-2.16,-0.205,0.0603,-0.78,0.466435872
-9.353417734,-7.448333172,30.29718295,-2.16,-0.228,0.0603,-0.792,0.995493797
-8.956329885,-6.908852006,30.00240279,-2.16,-0.25,0.0602,-0.804,0.017943587
-8.541666133,-6.459834883,29.58159462,-2.16,-0.273,0.0602,-0.815,0.07048646
-8.130177397,-6.112292296,29.06401171,-2.16,-0.295,0.0602,-0.827,0.262072475
-7.740066045,-5.86919441,28.47854565,-2.15,-0.318,0.0602,-0.838,0.773561972
-7.386192824,-5.727686813,27.85179447,-2.15,-0.341,0.0602,-0.848,0.700655391
-7.079841873,-5.681358397,27.20717511,-2.15,-0.363,0.0602,-0.859,0.838949657
-6.828911121,-5.722160457,26.56482117,-2.15,-0.386,0.0602,-0.869,0.54045252
-6.638367641,-5.841793708,25.94196516,-2.14,-0.409,0.0602,-0.879,0.993454374
-6.510819457,-6.032540412,25.35355064,-2.14,-0.432,0.0602,-0.889,0.026011122
-6.44708746,-6.287608104,24.81289596,-2.14,-0.455,0.0602,-0.898,0.101338173
-6.446697904,-6.601083215,24.33230123,-2.13,-0.478,0.0602,-0.907,0.36427499
-6.508248279,-6.967589591,23.92353773,-2.13,-0.501,0.0602,-0.916,0.926314886
-6.62962348,-7.381728657,23.59818191,-2.12,-0.524,0.0602,-0.924,0.273022471
-6.808055549,-7.83735953,23.36775978,-2.12,-0.547,0.0602,-0.932,0.793924806
-7.040030964,-8.326768612,23.243658,-2.11,-0.57,0.0603,-0.94,0.654432834
-7.321058159,-8.839785415,23.23674472,-2.11,-0.594,0.0603,-0.948,0.904601999
-7.645318162,-9.362928735,23.35663346,-2.1,-0.617,0.0603,-0.955,0.345188889
-8.005236552,-9.878715261,23.61053151,-2.1,-0.64,0.0603,-0.961,0.90413408
-8.391037714,-10.36532553,24.00165358,-2.09,-0.663,0.0603,-0.968,0.346702581
-8.790372541,-10.79688241,24.52727041,-2.08,-0.687,0.0604,-0.974,0.905999606
-9.188143608,-11.14462145,25.17660779,-2.08,-0.71,0.0604,-0.98,0.340657281
-9.566676017,-11.37917152,25.92900315,-2.07,-0.733,0.0604,-0.985,0.898439591
-9.906378777,-11.47396899,26.75291082,-2.06,-0.757,0.0604,-0.99,0.364983568
-10.18698922,-11.40948284,27.60642549,-2.06,-0.78,0.0605,-0.995,0.927082252
-10.38937749,-11.17749608,28.43984385,-2.05,-0.803,0.0605,-0.999,0.270402999
-10.49771972,-10.78433965,29.20033367,-2.04,-0.827,0.0606,-1,0.789140869
-10.50167372,-10.25193919,29.83809582,-2.03,-0.85,0.0606,-1.01,0.665590231
-10.39808434,-9.615973773,30.31274022,-2.03,-0.874,0.0606,-1.01,0.890319501
-10.19177953,-8.921291507,30.59830306,-2.02,-0.897,0.0607,-1.01,0.390602748
-9.895212321,-8.215642875,30.68563885,-2.01,-0.92,0.0607,-1.01,0.952128965
-9.52699958,-7.543338027,30.58174792,-2,-0.944,0.0608,-1.02,0.182317596
-9.109691815,-6.940343863,30.30656231,-1.99,-0.967,0.0608,-1.02,0.596311561
-8.667268664,-6.431700008,29.88836767,-1.98,-0.991,0.0609,-1.02,0.962896333
-8.222846849,-6.031307709,29.35915597,-1.97,-1.01,0.0609,-1.02,0.142907939
-7.796944535,-5.743508235,28.75086326,-1.96,-1.04,0.061,-1.02,0.489941039
-7.40644742,-5.565602703,28.09291947,-1.95,-1.06,0.061,-1.02,0.999595269
-7.064244496,-5.490536575,27.41107674,-1.94,-1.08,0.0611,-1.02,0.001618268
-6.779388413,-5.509222786,26.72721944,-1.93,-1.11,0.0612,-1.02,0.006462596
-6.557592621,-5.612252753,26.05978724,-1.92,-1.13,0.0612,-1.02,0.025683324
-6.401886878,-5.790953618,25.4244932,-1.91,-1.15,0.0613,-1.02,0.100094765
-6.31328994,-6.037868594,24.83511516,-1.9,-1.18,0.0614,-1.02,0.360303212
-6.29140275,-6.346780572,24.30422975,-1.89,-1.2,0.0614,-1.02,0.92193923
-6.334864908,-6.712395474,23.84382199,-1.88,-1.22,0.0615,-1.01,0.287869145
-6.441646555,-7.129777104,23.46573558,-1.87,-1.25,0.0616,-1.01,0.820002001
-6.609166834,-7.593597843,23.18193618,-1.85,-1.27,0.0617,-1.01,0.590394878
-6.834241491,-8.097251395,23.00454974,-1.84,-1.29,0.0618,-1,0.967315064
-7.112869632,-8.631872392,22.94561865,-1.83,-1.32,0.0618,-1,0.126466523
-7.439877576,-9.185328614,23.01649973,-1.82,-1.34,0.0619,-0.997,0.441890967
-7.808450331,-9.741297944,23.22682049,-1.8,-1.36,0.062,-0.993,0.986493361
-8.209602346,-10.27861255,23.58293108,-1.79,-1.39,0.0621,-0.988,0.053296838
-8.631670571,-10.77113527,24.0858589,-1.78,-1.41,0.0622,-0.983,0.201825139
-9.059952572,-11.18849814,24.72891074,-1.76,-1.43,0.0623,-0.978,0.64436701
-9.476651126,-11.49802871,25.49527663,-1.75,-1.45,0.0624,-0.972,0.916632666
-9.861305798,-11.66804849,26.35623572,-1.74,-1.48,0.0625,-0.967,0.305668886
-10.19186475,-11.67239766,27.27075249,-1.72,-1.5,0.0626,-0.961,0.848941673
-10.44645077,-11.49554115,28.18723252,-1.71,-1.52,0.0627,-0.954,0.512958836
-10.60569856,-11.13709004,29.04783749,-1.69,-1.54,0.0628,-0.948,0.999328274
-10.65531998,-10.61430568,29.795022,-1.68,-1.57,0.0629,-0.941,0.002685098
-10.58837217,-9.961418738,30.37906507,-1.66,-1.59,0.063,-0.934,0.010711553
-10.40666039,-9.225461248,30.76475144,-1.65,-1.61,0.0632,-0.926,0.042387261
-10.1208646,-8.459481539,30.93541729,-1.63,-1.63,0.0633,-0.919,0.162362323
-9.749305554,-7.714931888,30.89339199,-1.62,-1.66,0.0634,-0.911,0.544003196
-9.315635853,-7.035211358,30.65707425,-1.6,-1.68,0.0635,-0.903,0.992254875
-8.846003579,-6.45175056,30.25588301,-1.58,-1.7,0.0636,-0.894,0.030740552
-8.366295448,-5.98301496,29.72469369,-1.57,-1.72,0.0638,-0.886,0.119182283
-7.899935412,-5.635898315,29.09908795,-1.55,-1.74,0.0639,-0.877,0.419911465
-7.466481378,-5.408510602,28.41211281,-1.53,-1.77,0.064,-0.868,0.974343306
-7.081032034,-5.293361261,27.69262356,-1.52,-1.79,0.0642,-0.859,0.099993711
-6.754296121,-5.280218841,26.96489217,-1.5,-1.81,0.0643,-0.85,0.359979874
-6.493105967,-5.35827891,26.24902869,-1.48,-1.83,0.0645,-0.84,0.921577457
